,Time,IP1,IP2,Protocol,Pkt-size
156,1.173562,74.125.250.44,172.16.155.40,UDP,85
157,1.190135,172.16.155.40,172.217.27.202,TCP,55
158,1.191078,172.217.27.202,172.16.155.40,TCP,66
159,1.191431,172.16.155.40,74.125.250.44,UDP,97
160,1.209405,172.16.155.40,74.125.250.44,UDP,148
161,1.211509,172.16.155.40,74.125.250.44,UDP,81
162,1.216507,74.125.250.44,172.16.155.40,UDP,724
163,1.218035,172.16.155.40,74.125.250.44,UDP,80
164,1.219372,74.125.250.44,172.16.155.40,UDP,100
165,1.221998,74.125.250.44,172.16.155.40,UDP,724
166,1.247465,74.125.250.44,172.16.155.40,UDP,758
167,1.268505,172.16.155.40,74.125.250.44,UDP,80
168,1.270585,74.125.250.44,172.16.155.40,UDP,100
169,1.288343,74.125.250.44,172.16.155.40,UDP,826
170,1.318976,172.16.155.40,74.125.250.44,UDP,80
171,1.32907,74.125.250.44,172.16.155.40,UDP,793
172,1.362421,74.125.250.44,172.16.155.40,UDP,97
173,1.369709,172.16.155.40,74.125.250.44,UDP,80
174,1.37055,172.16.155.40,142.250.67.69,TCP,55
175,1.371475,74.125.250.44,172.16.155.40,UDP,778
176,1.371493,142.250.67.69,172.16.155.40,TCP,66
177,1.373591,74.125.250.44,172.16.155.40,UDP,778
178,1.385004,74.125.250.44,172.16.155.40,UDP,81
179,1.39564,74.125.250.44,172.16.155.40,UDP,115
180,1.398448,74.125.250.44,172.16.155.40,UDP,81
181,1.409663,74.125.250.44,172.16.155.40,UDP,531
182,1.420075,172.16.155.40,74.125.250.44,UDP,84
183,1.420128,172.16.155.40,74.125.250.44,UDP,100
184,1.449714,74.125.250.44,172.16.155.40,UDP,834
185,1.471633,172.16.155.40,74.125.250.44,UDP,80
186,1.476547,74.125.250.44,172.16.155.40,UDP,916
187,1.521604,172.16.155.40,74.125.250.44,UDP,80
188,1.523305,74.125.250.44,172.16.155.40,UDP,892
189,1.529036,74.125.250.44,172.16.155.40,UDP,893
190,1.540185,172.16.155.40,74.125.250.44,UDP,84
191,1.559559,74.125.250.44,172.16.155.40,UDP,487
192,1.572276,172.16.155.40,74.125.250.44,UDP,84
193,1.577693,172.16.155.40,74.125.250.44,UDP,100
194,1.611479,172.16.155.40,74.125.250.44,UDP,113
195,1.612387,74.125.250.44,172.16.155.40,UDP,662
196,1.622342,172.16.155.40,74.125.250.44,UDP,80
197,1.631529,172.16.155.40,74.125.250.44,UDP,81
198,1.640317,74.125.250.44,172.16.155.40,UDP,118
199,1.658752,74.125.250.44,172.16.155.40,UDP,882
200,1.658752,74.125.250.44,172.16.155.40,UDP,85
201,1.673251,172.16.155.40,74.125.250.44,UDP,84
202,1.678049,74.125.250.44,172.16.155.40,UDP,100
203,1.690389,172.16.155.40,74.125.250.44,UDP,84
204,1.711967,74.125.250.44,172.16.155.40,UDP,1196
205,1.724196,172.16.155.40,74.125.250.44,UDP,80
206,1.737526,74.125.250.44,172.16.155.40,UDP,568
207,1.765725,74.125.250.44,172.16.155.40,UDP,132
208,1.775058,172.16.155.40,74.125.250.44,UDP,80
209,1.776331,74.125.250.44,172.16.155.40,UDP,850
210,1.777327,74.125.250.44,172.16.155.40,UDP,97
211,1.786031,74.125.250.44,172.16.155.40,UDP,117
212,1.799529,74.125.250.44,172.16.155.40,UDP,81
213,1.805808,74.125.250.44,172.16.155.40,UDP,81
214,1.810171,74.125.250.44,172.16.155.40,UDP,1060
215,1.826062,172.16.155.40,74.125.250.44,UDP,84
216,1.87161,74.125.250.44,172.16.155.40,UDP,765
217,1.873328,74.125.250.44,172.16.155.40,UDP,766
218,1.876518,172.16.155.40,74.125.250.44,UDP,80
219,1.882377,172.16.155.40,74.125.250.44,STUN,154
220,1.903233,74.125.250.44,172.16.155.40,STUN,134
221,1.904293,74.125.250.44,172.16.155.40,UDP,585
222,1.927376,172.16.155.40,74.125.250.44,UDP,80
223,1.955797,74.125.250.44,172.16.155.40,UDP,770
224,1.978388,172.16.155.40,74.125.250.44,UDP,80
225,1.994035,74.125.250.44,172.16.155.40,UDP,700
226,2.029326,172.16.155.40,74.125.250.44,UDP,80
227,2.03139,172.16.155.40,74.125.250.44,UDP,97
228,2.048693,74.125.250.44,172.16.155.40,UDP,712
229,2.051524,172.16.155.40,74.125.250.44,UDP,81
230,2.057458,74.125.250.44,172.16.155.40,UDP,697
231,2.059127,74.125.250.44,172.16.155.40,UDP,126
232,2.079504,172.16.155.40,74.125.250.44,UDP,84
233,2.08579,74.125.250.44,172.16.155.40,UDP,100
234,2.088668,74.125.250.44,172.16.155.40,UDP,85
235,2.099086,172.16.155.40,74.125.250.44,UDP,100
236,2.126645,74.125.250.44,172.16.155.40,UDP,699
237,2.130414,172.16.155.40,74.125.250.44,UDP,80
238,2.15743,172.16.155.40,74.125.250.44,UDP,100
239,2.165572,74.125.250.44,172.16.155.40,UDP,736
240,2.180471,172.16.155.40,74.125.250.44,UDP,80
241,2.188241,74.125.250.44,172.16.155.40,UDP,144
242,2.191299,172.16.155.40,74.125.250.44,UDP,148
243,2.19519,74.125.250.44,172.16.155.40,UDP,97
244,2.201691,74.125.250.44,172.16.155.40,UDP,783
245,2.206143,74.125.250.44,172.16.155.40,UDP,101
246,2.219344,74.125.250.44,172.16.155.40,UDP,81
247,2.226295,74.125.250.44,172.16.155.40,UDP,81
248,2.231474,172.16.155.40,74.125.250.44,UDP,84
249,2.252083,74.125.250.44,172.16.155.40,UDP,773
250,2.255501,74.125.250.44,172.16.155.40,UDP,773
251,2.282443,172.16.155.40,74.125.250.44,UDP,80
252,2.288802,74.125.250.44,172.16.155.40,UDP,795
253,2.330155,74.125.250.44,172.16.155.40,UDP,762
254,2.333355,172.16.155.40,74.125.250.44,UDP,80
255,2.334262,172.16.155.40,74.125.250.44,UDP,100
256,2.374117,74.125.250.44,172.16.155.40,UDP,580
257,2.3841,172.16.155.40,74.125.250.44,UDP,80
258,2.415565,74.125.250.44,172.16.155.40,UDP,766
259,2.416579,74.125.250.44,172.16.155.40,UDP,766
260,2.43425,172.16.155.40,74.125.250.44,UDP,80
261,2.451615,172.16.155.40,74.125.250.44,UDP,97
262,2.454187,74.125.250.44,172.16.155.40,UDP,300
263,2.454187,74.125.250.44,172.16.155.40,UDP,481
264,2.456285,74.125.250.44,172.16.155.40,UDP,483
265,2.456285,74.125.250.44,172.16.155.40,UDP,483
266,2.459428,74.125.250.44,172.16.155.40,UDP,483
267,2.459428,74.125.250.44,172.16.155.40,UDP,483
268,2.462478,74.125.250.44,172.16.155.40,UDP,483
269,2.462478,74.125.250.44,172.16.155.40,UDP,483
270,2.465701,74.125.250.44,172.16.155.40,UDP,483
271,2.466732,74.125.250.44,172.16.155.40,UDP,483
272,2.4716,172.16.155.40,74.125.250.44,UDP,81
273,2.480948,74.125.250.44,172.16.155.40,UDP,118
274,2.484759,172.16.155.40,74.125.250.44,UDP,92
275,2.496665,74.125.250.44,172.16.155.40,UDP,100
276,2.49768,74.125.250.44,172.16.155.40,UDP,511
277,2.500719,74.125.250.44,172.16.155.40,UDP,85
278,2.535153,172.16.155.40,74.125.250.44,UDP,80
279,2.53546,74.125.250.44,172.16.155.40,UDP,711
280,2.578877,74.125.250.44,172.16.155.40,UDP,673
281,2.583118,74.125.250.44,172.16.155.40,UDP,673
282,2.585119,172.16.155.40,74.125.250.44,UDP,84
283,2.596445,172.16.155.40,74.125.250.44,UDP,100
284,2.605284,74.125.250.44,172.16.155.40,UDP,161
285,2.611673,172.16.155.40,74.125.250.44,UDP,100
286,2.617442,74.125.250.44,172.16.155.40,UDP,97
287,2.623728,74.125.250.44,172.16.155.40,UDP,162
288,2.625494,74.125.250.44,172.16.155.40,UDP,464
289,2.635109,172.16.155.40,74.125.250.44,UDP,100
290,2.636048,172.16.155.40,74.125.250.44,UDP,84
291,2.639829,74.125.250.44,172.16.155.40,UDP,81
292,2.643379,74.125.250.44,172.16.155.40,UDP,163
293,2.661091,74.125.250.44,172.16.155.40,UDP,161
294,2.665952,Cisco_88:0e:91,Spanning-tree-(for-bridges)_00,STP,60
295,2.680591,74.125.250.44,172.16.155.40,UDP,162
296,2.686126,172.16.155.40,74.125.250.44,UDP,84
297,2.689292,74.125.250.44,172.16.155.40,UDP,543
298,2.707795,74.125.250.44,172.16.155.40,UDP,101
299,2.707795,74.125.250.44,172.16.155.40,UDP,81
300,2.714636,74.125.250.44,172.16.155.40,UDP,161
301,2.72008,74.125.250.44,172.16.155.40,UDP,161
302,2.729784,74.125.250.44,172.16.155.40,UDP,843
303,2.736458,172.16.155.40,74.125.250.44,UDP,84
304,2.740604,74.125.250.44,172.16.155.40,UDP,168
305,2.753501,74.125.250.44,172.16.155.40,UDP,670
306,2.756357,74.125.250.44,172.16.155.40,UDP,670
307,2.76082,74.125.250.44,172.16.155.40,UDP,156
308,2.765727,74.125.250.44,172.16.155.40,UDP,132
309,2.778497,74.125.250.44,172.16.155.40,UDP,151
310,2.787017,172.16.155.40,74.125.250.44,UDP,84
311,2.829005,74.125.250.44,172.16.155.40,UDP,730
312,2.834929,74.125.250.44,172.16.155.40,UDP,146
313,2.835887,74.125.250.44,172.16.155.40,UDP,664
314,2.837115,172.16.155.40,74.125.250.44,UDP,84
315,2.859799,74.125.250.44,172.16.155.40,UDP,143
316,2.860827,74.125.250.44,172.16.155.40,UDP,160
